JobID,Title,ExperienceLevel,YearsOfExperience,clean_description
NET-F-001,.NET Developer,Fresher,0-1,net developer c vbnet basics net framework net core fundamentals aspnet mvc html css javascript basics sql server entity framework basics linq visual studio git unit testing basics assist in coding and debugging applications learn and apply net framework and core fundamentals support team in building aspnet mvc web applications write basic sql queries and work with entity framework collaborate with peers to solve issues participate in code reviews for learning follow best practices in coding work with version control git net c aspnet mvc entity framework sql server linq visual studio unit testing
NET-F-002,.NET Developer,Fresher,0-1,net developer c net framework basics aspnet razor html css javascript basics sql server entity framework basics nunit basics write simple c programs under guidance support development of aspnet mvc applications implement razor views and frontend logic assist in database query writing participate in unit testing tasks learn and apply linq for data operations work with mentors for code corrections net c aspnet mvc entity framework sql server razor unit testing
NET-F-003,.NET Developer,Fresher,0-1,net developer c vbnet basics net core aspnet mvc html css javascript basics sql server git contribute to development of small modules assist in bug fixing and debugging learn and implement mvc patterns support database integration tasks understand version control basics work on minor testing scripts follow coding standards net c aspnet mvc sql server entity framework git
NET-F-004,.NET Developer,Fresher,0-1,net developer c net framework aspnet basics sql server html css linq visual studio support in software design documentation assist senior developers in testing create small ui components debug and test applications implement basic linq queries participate in code maintenance net c sql server entity framework aspnet
NET-F-005,.NET Developer,Fresher,0-1,net developer c aspnet mvc entity framework basics sql server html css javascript basics learn to design and build aspnet applications assist in connecting apps to sql server work on ui development participate in daily standups write small unit test cases net c aspnet mvc entity framework sql server
NET-F-006,.NET Developer,Fresher,0-1,net developer c net framework aspnet razor sql server git nunit basics assist in razor page development learn version control processes perform debugging under supervision support data access layer coding contribute to testing efforts net c aspnet razor sql server unit testing
NET-F-007,.NET Developer,Fresher,0-1,net developer c vbnet net core basics aspnet mvc html css sql server visual studio support team in mvc project development help in resolving minor bugs write basic sql queries collaborate with developers for tasks participate in project discussions net c aspnet mvc sql server
NET-F-008,.NET Developer,Fresher,0-1,net developer c net framework basics aspnet mvc entity framework basics sql server linq assist in building backend modules learn and apply entity framework help in writing linq queries support bug fixing write basic documentation net c aspnet mvc entity framework linq sql server
NET-F-009,.NET Developer,Fresher,0-1,net developer c net framework aspnet html css sql server write simple aspnet pages collaborate with design team assist in database operations perform code reviews with seniors learn about mvc patterns net c aspnet sql server
NET-F-010,.NET Developer,Fresher,0-1,net developer c aspnet mvc net core basics entity framework basics sql server git support new feature development assist with application configuration help in database schema setup perform small unit testing tasks follow agile methodology basics net c aspnet mvc entity framework sql server git
NET-E-011,.NET Developer,Experienced,3+,net developer c net core aspnet mvc sql server entity framework rest apis docker azure design and develop advanced net applications implement microservices with aspnet core manage sql server database performance develop rest apis deploy applications using docker integrate with azure cloud services net core c aspnet mvc microservices azure entity framework rest apis docker
NET-E-012,.NET Developer,Experienced,4+,net developer c aspnet core sql server entity framework design patterns solid principles azure devops architect scalable net core solutions implement design patterns in projects lead database optimization efforts manage cicd pipelines with azure devops collaborate with crossfunctional teams net core c aspnet mvc solid azure devops entity framework
NET-E-013,.NET Developer,Experienced,5+,net developer c f net core aspnet mvc microservices docker kubernetes azure develop microservices architecture work with docker and kubernetes for deployment integrate with azure services lead junior developers optimize application performance net core c microservices docker kubernetes azure
NET-E-014,.NET Developer,Experienced,3+,net developer c aspnet core webapi signalr sql server nosql entity framework develop restful apis and realtime apps implement signalr for live communication work with sql server and nosql databases lead module development ensure application scalability net core c aspnet mvc webapi signalr entity framework
NET-E-015,.NET Developer,Experienced,5+,net developer c net core aspnet mvc blazor angular sql server dapper develop frontend with blazorangular implement repository pattern with dapper optimize sql server queries enhance uiux for applications mentor junior team members net core c aspnet mvc blazor angular sql server dapper
NET-E-016,.NET Developer,Experienced,4+,net developer c net core aspnet mvc rest apis docker azure devops testing with nunit develop and maintain microservices create cicd pipelines ensure testing coverage with nunit deploy apps with docker collaborate with qa team net core c aspnet mvc rest apis docker azure devops nunit
NET-E-017,.NET Developer,Experienced,3+,net developer c aspnet core webapi grpc sql server azure build restful and grpc apis integrate services with azure design database schemas monitor system performance provide technical leadership net core c webapi grpc sql server azure
NET-E-018,.NET Developer,Experienced,5+,net developer c aspnet core microservices kubernetes entity framework azure solid principles design and manage microservices architecture deploy apps on kubernetes clusters ensure best practices with solid principles lead development sprints coordinate with product teams net core c microservices kubernetes entity framework azure solid
NET-E-019,.NET Developer,Experienced,4+,net developer c net core aspnet mvc testing with xunit moq azure implement automated unit tests use moq for dependency testing develop scalable apps in net core lead code review sessions optimize app performance net core c aspnet mvc xunit moq azure
NET-E-020,.NET Developer,Experienced,5+,net developer c net core aspnet mvc cicd azure devops docker kubernetes rest apis lead cicd setup in azure devops deploy services with dockerkubernetes architect scalable net applications coordinate with crossfunctional teams mentor juniors net core c aspnet mvc cicd azure devops docker kubernetes rest apis
AI001,AI Engineer - Fresher,Entry-Level,0–1 year,ai engineer  fresher python java c r supervisedunsupervised learning regression classification clustering tensorflow pytorch keras scikitlearn neural networks opencv nltk pandas numpy sql mongodb nosql assist in developing ai models preprocess data implement basic ml algorithms participate in hackathons and academic projects ai ml fresher entrylevel python deep learning tensorflow pytorch
AI002,AI Engineer - Fresher,Entry-Level,0–1 year,ai engineer  fresher python java c r classification regression clustering tensorflow pytorch keras scikitlearn neural networks opencv nltk pandas numpy sql mongodb build simple ai models preprocess datasets implement basic ml pipelines work collaboratively on projects ai ml fresher entrylevel python tensorflow pytorch
AI003,AI Engineer - Fresher,Entry-Level,0–1 year,ai engineer  fresher python java c r supervisedunsupervised learning regression classification clustering tensorflow pytorch keras scikitlearn neural networks opencv nltk pandas numpy sql mongodb support ai development create and test ml models perform data preprocessing and feature engineering collaborate with mentors ai ml fresher entrylevel python deep learning tensorflow pytorch
AI004,AI Engineer - Fresher,Entry-Level,0–1 year,ai engineer  fresher python java c r classification regression clustering tensorflow pytorch keras scikitlearn neural networks opencv nltk pandas numpy sql mongodb implement basic aiml models assist with data preprocessing and visualization participate in small projects or hackathons ai ml fresher entrylevel python tensorflow pytorch
AI005,AI Engineer - Fresher,Entry-Level,0–1 year,ai engineer  fresher python java c r supervisedunsupervised learning regression classification clustering tensorflow pytorch keras scikitlearn neural networks opencv nltk pandas numpy sql mongodb assist in ai model development data cleaning implement basic neural networks collaborate on academic or hackathon projects ai ml fresher entrylevel python tensorflow deep learning
AI006,AI Engineer - Fresher,Entry-Level,0–1 year,ai engineer  fresher python java c r classification regression clustering tensorflow pytorch keras scikitlearn neural networks opencv nltk pandas numpy sql mongodb build and train basic ai models preprocess datasets implement feature engineering techniques collaborate in small teams ai ml fresher entrylevel python tensorflow pytorch
AI007,AI Engineer - Fresher,Entry-Level,0–1 year,ai engineer  fresher python java c r supervisedunsupervised learning regression classification clustering tensorflow pytorch keras scikitlearn neural networks opencv nltk pandas numpy sql mongodb assist in developing ai pipelines train basic mldl models preprocess data participate in hackathons or academic projects ai ml fresher entrylevel python tensorflow deep learning
AI008,AI Engineer - Fresher,Entry-Level,0–1 year,ai engineer  fresher python java c r classification regression clustering tensorflow pytorch keras scikitlearn neural networks opencv nltk pandas numpy sql mongodb implement and test mlai models clean and preprocess data contribute to academic hobby or hackathon projects ai ml fresher entrylevel python tensorflow pytorch
AI009,AI Engineer - Fresher,Entry-Level,0–1 year,ai engineer  fresher python java c r supervisedunsupervised learning regression classification clustering tensorflow pytorch keras scikitlearn neural networks opencv nltk pandas numpy sql mongodb support development of ai projects preprocess datasets build basic mldl models participate in collaborative projects and hackathons ai ml fresher entrylevel python tensorflow deep learning
AI010,AI Engineer - Experienced,Mid-Senior Level,3–6 years,ai engineer  experienced python java c r deep learning reinforcement learning nlp computer vision generative ai llms tensorflow pytorch scikitlearn hugging face transformers onnx aws gcp azure cicd mlops apache spark hadoop docker kubernetes model monitoring shap lime architect and deploy scalable ai models optimize deep learning and nlp pipelines integrate ai solutions with cloud platforms lead ai projects ai ml midsenior level deep learning nlp cloud mlops tensorflow pytorch
AI011,AI Engineer - Experienced,Senior-Level,4–7 years,ai engineer  experienced python java c r deep learning nlp computer vision generative ai llms tensorflow pytorch scikitlearn hugging face transformers onnx aws gcp azure cicd mlops spark hadoop docker kubernetes model monitoring shap lime design implement and deploy advanced ai solutions lead teams ensure cloud integration manage mlops pipelines ai ml seniorlevel deep learning nlp cloud mlops
AI012,AI Engineer - Experienced,Senior-Level,5+ years,ai engineer  experienced python java c r deep learning nlp computer vision reinforcement learning llms tensorflow pytorch keras scikitlearn hugging face transformers aws gcp azure cicd docker kubernetes spark hadoop shap lime lead ai engineering projects deploy scalable deep learning models manage cloudbased ai platforms mentor junior ai engineers ai ml seniorlevel deep learning nlp cloud mlops
AI013,AI Engineer - Experienced,Senior-Level,6+ years,ai engineer  experienced python java c r deep learning nlp computer vision llms reinforcement learning tensorflow pytorch scikitlearn hugging face onnx aws gcp azure cicd docker kubernetes spark hadoop shap lime architect aiml pipelines integrate models with cloud platforms optimize nlp and computer vision solutions lead crossfunctional ai teams ai ml seniorlevel deep learning nlp cloud mlops
AI014,AI Engineer - Experienced,Senior-Level,5–8 years,ai engineer  experienced python java c r deep learning nlp computer vision generative ai llms tensorflow pytorch keras scikitlearn hugging face onnx aws gcp azure docker kubernetes cicd hadoop spark shap lime design and deploy productiongrade ai solutions manage ai cloud platforms lead ai engineering teams implement mlops practices ensure model explainability ai ml seniorlevel deep learning nlp cloud mlops
