Category,skills,experience,education,projects,clean_text
HR, as well as computer skills knowledge of medical terminology and procedures statistics billing standards data analysis and laws regarding medical billing         assistant general manager     jun 2010   to   dec 2010      company name      city     state     performed duties including but not limited to budgeting and financial management accounting human resources payroll and purchasing  established and maintained close working relationships with all departments of the hotel to ensure maximum operation productivity morale and guest service  handled daily operations and reported directly to the, in hospitality and customer service management   respected builder and leader of customerfocused teams strives to instill a shared enthusiastic commitment to customer service         highlights         focused on customer satisfaction  team management  marketing savvy  conflict resolution techniques     training and development  skilled multitasker  client relations specialist           accomplishments      missouri dot supervisor training certification  certified by ihg in customer loyalty and marketing by segment   hilton worldwide general manager training certification  accomplished traine,      na     business administration   1999     jefferson college      city     state       business administration  marketing  advertising         high school diploma     college prep studies   1998     sainte genevieve senior high      city     state       awarded american shrubel leadership scholarship to jefferson college         skills     accounting ads advertising analytical skills benefits billing budgeting clients customer service data analysis delivery documentation employee relations financial management government relations human resources insurance labor relations layout marketing,,hr administratormarketing associate hr administrator       summary     dedicated customer service manager with 15 years of experience in hospitality and customer service management   respected builder and leader of customerfocused teams strives to instill a shared enthusiastic commitment to customer service         highlights         focused on customer satisfaction  team management  marketing savvy  conflict resolution techniques     training and development  skilled multitasker  client relations specialist           accomplishments      missouri dot supervisor training certification  certified by ihg in customer loyalty and marketing by segment   hilton worldwide general manager training certification  accomplished trainer for cross server hospitality systems such as    hilton onq     micros    opera pms    fidelio    opera    reservation system ors    holidex    completed courses and seminars in customer service sales strategies inventory control loss prevention safety time management leadership and performance assessment        experience      hr administratormarketing associate hr administrator     dec 2013   to   current      company name      city     state     helps to develop policies directs and coordinates activities such as employment compensation labor relations benefits training and employee services  prepares employee separation notices and related documentation  keeps records of benefits plans participation such as insurance and pension plan personnel transactions such as hires promotions transfers performance reviews and terminations and employee statistics for government reporting  advises management in appropriate resolution of employee relations issues  administers benefits programs such as life health dental insurance pension plans vacation sick leave leave of absence and employee assistance     marketing associate     designed and created marketing collateral for sales meetings trade shows and company executives  managed the inhouse advertising program consisting of print and media collateral pieces  assisted in the complete design and launch of the companys website in 2 months  created an official company page on facebook to facilitate interaction with customers  analyzed ratings and programming features of competitors to evaluate the effectiveness of marketing strategies         advanced medical claims analyst     mar 2012   to   dec 2013      company name      city     state     reviewed medical bills for the accuracy of the treatments tests and hospital stays prior to sanctioning the claims  trained to interpret the codes icd9 cpt and terminology commonly used in medical billing to fully understand the paperwork that is submitted by healthcare providers  required to have organizational and analytical skills as well as computer skills knowledge of medical terminology and procedures statistics billing standards data analysis and laws regarding medical billing         assistant general manager     jun 2010   to   dec 2010      company name      city     state     performed duties including but not limited to budgeting and financial management accounting human resources payroll and purchasing  established and maintained close working relationships with all departments of the hotel to ensure maximum operation productivity morale and guest service  handled daily operations and reported directly to the corporate office  hired and trained staff on overall objectives and goals with an emphasis on high customer service  marketing and advertising working on public relations with the media government and local businesses and chamber of commerce         executive support  marketing assistant     jul 2007   to   jun 2010      company name      city     state     provided assistance to various department heads  executive marketing customer service human resources  managed frontend operations to ensure friendly and efficient transactions  ensured the swift resolution of customer issues to preserve customer loyalty while complying with company policies  exemplified the secondtonone customer service delivery in all interactions with customers and potential clients         reservation  front office manager     jun 2004   to   jul 2007      company name      city     state          owner partner     dec 2001   to   may 2004      company name      city     state          price integrity coordinator     aug 1999   to   dec 2001      company name      city     state          education      na     business administration   1999     jefferson college      city     state       business administration  marketing  advertising         high school diploma     college prep studies   1998     sainte genevieve senior high      city     state       awarded american shrubel leadership scholarship to jefferson college         skills     accounting ads advertising analytical skills benefits billing budgeting clients customer service data analysis delivery documentation employee relations financial management government relations human resources insurance labor relations layout marketing marketing collateral medical billing medical terminology office organizational payroll performance reviews personnel policies posters presentations public relations purchasing reporting statistics website
HR,    adobe photoshop adp asset management branding brochures content customer care final cut pro graphics graphic hr illustrator indesign innovation inventory lotus notes marketing marketing materials marketing material materials microsoft office sharepoint newsletter presentations process improvement project management promotional materials publications quality realtime recruitment reporting rfp sales stories employee development video web design website articles,     092015   to   current     hr specialist us hr operations    company name      city     state       managed communication regarding launch of operations group policy changes and system outages      designed standard work and job aids to create comprehensive training program for new employees and contractors         audited job postings for old pending onhold and draft positions           audited union hourly nonunion hourly and salary background checks and drug screens             conducted monthly new hire benefits briefing to new employees across all business units               served a,     2014     master of arts     corporate communication  public relations    sacred heart university      city     state             2013     bachelor of arts     relational communication    western connecticut state university      city     state              skills    adobe photoshop adp asset management branding brochures content customer care final cut pro graphics graphic hr illustrator indesign innovation inventory lotus notes marketing marketing materials marketing material materials microsoft office sharepoint newsletter presentations process improvement project management promotional,,hr specialist us hr operations       summary     versatile  media professional with background in communications marketing human resources and technology         experience     092015   to   current     hr specialist us hr operations    company name      city     state       managed communication regarding launch of operations group policy changes and system outages      designed standard work and job aids to create comprehensive training program for new employees and contractors         audited job postings for old pending onhold and draft positions           audited union hourly nonunion hourly and salary background checks and drug screens             conducted monthly new hire benefits briefing to new employees across all business units               served as a link between hr managers and vendors by handling questions and resolving systemrelated issues         provide realtime process improvement feedback on key metrics and initiatives  successfully rebranded us hr operations sharepoint site  business unit project manager for rfirfp on background check and drug screen vendor         012014   to   052015     it marketing and communications coop    company name      city     state      posted new articles changes and updates to corporate sharepoint site including graphics and visual communications  researched and drafted articles and feature stories to promote company activities and programs  coedited and developed content for quarterly published newsletter  provided communication support for internal and external events  collaborated with communication team media professionals and vendors to determine program needs for print materials web design and digital communications  entrusted to lead product service and software launches for digital asset management tool marketing toolkit website and executive tradeshows calendar  created presentations for management and executive approval to ensure alignment with corporate guidelines and branding  maintained the mysikorsky sharepoint site and provided timely solutions to mitigate issues      created story board and produced video for annual it all hands meeting         102012   to   012014     relationship coordinatormarketing specialist    company name      city     state       partnered with vendor to manage the inhouse advertising program consisting of print and media collateral pieces     coordinated preshow and postshow activities at trade shows     managed marketing campaigns to generate new business and to support partner and sales teams     ordered marketing collateral for meetings trade shows and advisors    improved administered and modified marketing programs to increase product awareness  assisted in preparing internal promotional publications managed marketing material inventory and supervised distribution of publications to ensure high quality product output  coordinated marketing materials including brochures promotional materials and products  partnered with graphic designers to develop appropriate materials and branding for brochures  used tracking and reporting systems for sales leads and appointments         092009   to   102012     assistant head teller    company name      city     state       received an internal audit score of  100      performed daily and monthly audits of atm machines and tellers     educated customers on a variety of retail products and available credit options       consistently met or exceeded quarterly sales goals     promoted products and services to customers while maintaining company brand identity        implemented programs to achieve and exceed customer and company participation goals     organized company sponsored events on campus resulting in increased brand awareness        coached peers on the proper use of programs to improve work flow efficiency  utilized product knowledge to successfully sell to and refer clients based on individual needs  promoted marketing the grand opening of new branch locations to strengthen company brand affinity        organized company sponsored events resulting in increased brand awareness and improved sales        coached peers on the proper use of programs to increase work flow efficiency           senior producer  2014 shu media exchange    company name      city     state      planned and executed event focusing on connecticuts creative corridor growth of industry and opportunities that come with development a  panel of industry professionals addressed topics related to media and hosted a question and answer session for approximately 110 attendees following the forum guests were invited to engage in networking and conversation at a postevent reception         education     2014     master of arts     corporate communication  public relations    sacred heart university      city     state             2013     bachelor of arts     relational communication    western connecticut state university      city     state              skills    adobe photoshop adp asset management branding brochures content customer care final cut pro graphics graphic hr illustrator indesign innovation inventory lotus notes marketing marketing materials marketing material materials microsoft office sharepoint newsletter presentations process improvement project management promotional materials publications quality realtime recruitment reporting rfp sales stories employee development video web design website articles
HR,          recruiting  fmlaeeoflsa   hris development      benefit administration  policy development  web page development             accomplishments      kansas health institute health outcomes for the state of kansas 1999  memberships and accolades project management institute member shrm chamber of commerce 1999 friends university presidents honor roll 1997 friends university deans honor roll student liaison for friends university topeka member of mothertomother member of the topeka  advertising federation several production pieces created nominated for addy awards received recognition for, in recruiting   15 plus years in human resources executive management   5 years of hris development and maintenance  4 years working in a healthcare enviroment        skills          recruiting  fmlaeeoflsa   hris development      benefit administration  policy development  web page development             accomplishments      kansas health institute health outcomes for the state of kansas 1999  memberships and accolades project management institute member shrm chamber of commerce 1999 friends university presidents honor roll 1997 friends university deans honor roll student liaison for friend, shro website shro hris system and automation of payroll processing  established and directed a comprehensive statewide human resource program for both classified and unclassified state employeespositions in the adjutant generals department  resolved nonroutine hr related issues associated as they arose reviewed documents and approved all hires and promotions reviews and approved modified andor disapproved wagesalary requests to hire individuals above the preestablished minimum classified or unclassified pay rate   reviewed any significant changes to position descriptions and determined if rec,,hr director       summary      over 20 years experience in recruiting   15 plus years in human resources executive management   5 years of hris development and maintenance  4 years working in a healthcare enviroment        skills          recruiting  fmlaeeoflsa   hris development      benefit administration  policy development  web page development             accomplishments      kansas health institute health outcomes for the state of kansas 1999  memberships and accolades project management institute member shrm chamber of commerce 1999 friends university presidents honor roll 1997 friends university deans honor roll student liaison for friends university topeka member of mothertomother member of the topeka  advertising federation several production pieces created nominated for addy awards received recognition for outstanding customer service assistance by the state of kansas travel and tourism department ashhra kahhr acm  additional information  leading change i have been instrumental in development and implementation of the adjutant generals retention research project involving survey development and analyzing the results of the surveys to present to the adjutant general to help retain the qualified talent of the departments  i have been tasked with working with the federal security manager for the joint forces headquarters in developing policies procedures and processes to ensure that all current and new state employees have the appropriate security clearances for the position held per the federal government requirements  while at lmis i lead the job vacancy project and was able to produce results in less time and man hours than in years before with staff that were inexperienced in the jvc process and procedures  i have been responsible to develop plan and implement database programs for the last three positions i have held  these were designed to cultivate involve renew contact and promote active and potential employees  these databases were used for reporting fte usage budget management and turnover reports  while working in the healthcare field i took the initiative in creating a local website that was used to receive and respond to requests for information and assistance in marketing and promoting the healthcare facility along with recruitment of potential employees  as human resource coordinator in the healthcare field i managed the front office personnel reduced contract labor costs for nursing staff and implemented a unique pay structure to increase prn staff utilization  i continually think outsidethebox to create and develop strategies to resolve issues faced in my work environment  in my current position i have met and exceeded all hiring goals for the firm  this resulted in our client increasing the business transferred to our location        experience      hr director   092016   to   current     company name   city     state       developed new website for agency payroll processing changes and implementation of new hris system   oversaw the employment process taking the lead role in clinician physician and management team recruitment initiatives   developed maintain and interpret hr policy authored the employee handbook provided coaching and support to management and supervisors on performance management and other related issues    maintained indepth knowledge of legal requirements related to daytoday management of employees reducing legal risks and ensuring regulatory compliance   evaluated and recommend changes to the employee benefits plan oversaw day to day administration of benefits            hr director   042009   to   092016     company name   city     state       develped supervisory education shro website shro hris system and automation of payroll processing  established and directed a comprehensive statewide human resource program for both classified and unclassified state employeespositions in the adjutant generals department  resolved nonroutine hr related issues associated as they arose reviewed documents and approved all hires and promotions reviews and approved modified andor disapproved wagesalary requests to hire individuals above the preestablished minimum classified or unclassified pay rate   reviewed any significant changes to position descriptions and determined if reclassification should be pursued reviewed position descriptions for new positions and determined the appropriate wage range based on comparable classified position if they exist   consulted with the tag and both military and state manager supervisors in order to provide technical and common sense guidance on properly addressing sensitive or complex employee and organizational issues aided them in achieving their ever changing program goals and provided innovative ideas for staffing             served as the administrations management representative in labor negotiations with the local kape unit at the 190th fire department          hr managersr recruiter   102003   to   062006     company name   city     state       created an hris tracking system used for recruitment  responsible for ramp up and hiring of all customer service agents and other positions as needed  placement and development of all advertising  met and exceeded all hiring goals responsible for hiring senior management to cover such duties as team managers payroll quality control  responsible for recruitment of 950 new employees meeting and exceeded goals set  coordinated and facilitated manpower planning recruitment and retention career development and training staff relations compensation and benefits compliance with local state and federal statutory regulations public programs and regulatory audit procedures  served as a resource person to administration midlevel management and staff regarding hr related          human resources coordinator   031996   to   022000     company name   city     state       developed hris database from ground up for employee records and monitoring  instrumental in reducing the use of agency staffing needs for hospital  coordinated and facilitates manpower planning recruitment and retention career development and training staff relations compensation and benefits compliance with local state and federal statutory regulations public programs and regulatory audit procedures  served as the hr resource source for administration midlevel management and staff  coordinated hiring procedures appraisals pay increases promotions transfers terminations job postings and all corrective actions  one person office responsible for all osha work comp benefits payroll etc          education and training      masters degree     information management systems   052005       friends university   city     state     united states     35 credits earned 62 semester hours information management systems        bachelor of science     organizational management   052000       friends university   city     state     united states      40 credits earned 62 semester hours             activities and honors    topeka chamber of commerce ambassador  kansas hospital association health care human resources member  shrm legislative liaison      skills      desktop publishing   newsletter productions   database management   leadership  training  osha fmla  workers compensation   pagemaker   agency automation backup   benefits  budget management  corel suite   harvard graphics  access excel microsoft publisher ms word    quark express quattro pro   strategic planning    web page development   wordperfect
HR,          type 50 wpm and 10key by touch  microsoft programs word excel access outlook powerpoint  personnel management  and telephone inquiries specialist      excellent customer service skills with call quality and customer satisfaction as primary focus  inbound and outbound contact center experience  excellent oral and written presentation and seasoned in conflict resolution             experience      hr specialist     may 2007   to   oct 2008      company name      city     state     accenture peopleline email management team  received inbound emails from clients as initial point of conta,  excellent oral and written presentation and seasoned in conflict resolution             experience      hr specialist     may 2007   to   oct 2008      company name      city     state     accenture peopleline email management team  received inbound emails from clients as initial point of contact to answer questions related to hr policies practices or to resolve issues  helped the client by answering their inquiry resolving their issue or routing their email to a caseworker for resolution  recorded and tracked the client issue via the case management tool from initiation to resolution  maint, and training      certificate of completion business administration     1997     texas am extension services      city     state            skills    10key by touch type 50 wpm filing access  microsoft excel microsoft outlook microsoft powerpoint microsoft word,,hr specialist       summary    dedicated driven and dynamic with over 20 years of customer service expertise motivated to maintain customer satisfaction and contribute to company success with an emphasis in personnel and process management solid team player with proven ability to establish rapport with clients       skills          type 50 wpm and 10key by touch  microsoft programs word excel access outlook powerpoint  personnel management  and telephone inquiries specialist      excellent customer service skills with call quality and customer satisfaction as primary focus  inbound and outbound contact center experience  excellent oral and written presentation and seasoned in conflict resolution             experience      hr specialist     may 2007   to   oct 2008      company name      city     state     accenture peopleline email management team  received inbound emails from clients as initial point of contact to answer questions related to hr policies practices or to resolve issues  helped the client by answering their inquiry resolving their issue or routing their email to a caseworker for resolution  recorded and tracked the client issue via the case management tool from initiation to resolution  maintained records of customer interactions and transactions by documenting details of inquiries complaints and comments as well as actions taken         customer service representative     mar 2007   to   feb 2008      company name      city     state     maintained records of customer interactions and transactions by documenting details of inquiries complaints and comments as well as actions taken  developed and implemented filing and delivery methods for fmla and short term disability documentation to respective global clientele  facilitated communication for the absence management team to clients and internal departmental teams  organized and maintained payroll and people services database management system  communicated to clients and internalexternal departmental teams mitigated risks and resolutions regarding  policy transactions and other queries         call centre shift supervisor     aug 2003   to   mar 2007      company name      city     state   answered and dispatched calls for medical and professional clients in the san antonio and surrounding areas provided call monitoring to ensure staff was adhering to quality call control maintained on call books for various medical staff to ensure that the correct staff was contacted during after hours and weekends        education and training      certificate of completion business administration     1997     texas am extension services      city     state            skills    10key by touch type 50 wpm filing access  microsoft excel microsoft outlook microsoft powerpoint microsoft word
HR,  hr department startup  three new organization startups  employment law  fmlaadaeeowc  mediation  advocacy  hr policies  procedures	staff recruitment  retention  salary negotiations  employee relations  benefits administration  unemployment administration  workers compensation administration  orientation  onboarding  hris technologies  training  development  performance management  organizational development  hr programproject management  hris applications lawson paychex kronos adp  ms office word excel powerpoint publisher access visio outlook                professional experience      hr m,      hr manager     jan 2015   to   current      company name      city     state     manage the human resource function for ecycles corporate office as well as their fulfillment and data center consisting of benefits and compensation administration payroll employee relations policy compliance and recruitment  key results foster an associateoriented culture that emphasizes continuous improvement team work high performance and quality  ensure organizational conformation with applicable hr related regulations and statutes as well as organizational procedures and policies  implement hr programs ,      bachelor of business administration      mount vernon nazarene university      city     state            professional affiliations    society for human resource management shrm muskingum valley human resource management association      skills    ada adp art agency benefits benefits administration coach coaching conflict resolution continuous improvement contracts decision making delivery direction employee relations special events financial functional hiring hris human resource management human resource human resources hr human relations kronos lawson leadership leadership development l,,hr manager         skill highlights           hr skills  hr department startup  three new organization startups  employment law  fmlaadaeeowc  mediation  advocacy  hr policies  procedures	staff recruitment  retention  salary negotiations  employee relations  benefits administration  unemployment administration  workers compensation administration  orientation  onboarding  hris technologies  training  development  performance management  organizational development  hr programproject management  hris applications lawson paychex kronos adp  ms office word excel powerpoint publisher access visio outlook                professional experience      hr manager     jan 2015   to   current      company name      city     state     manage the human resource function for ecycles corporate office as well as their fulfillment and data center consisting of benefits and compensation administration payroll employee relations policy compliance and recruitment  key results foster an associateoriented culture that emphasizes continuous improvement team work high performance and quality  ensure organizational conformation with applicable hr related regulations and statutes as well as organizational procedures and policies  implement hr programs and policies as needed by the organization  identify evaluate and resolve human relations employee morale work performance and organizational productivity concerns  develop staffing strategies and implement programs and plans to identify and cultivate effective and appropriate sources for employees at all job levels  create or assist in the creation of associate training and organizational development programs  develop and manage the annual associate review process  insure that regional staff is included in corporate activities and feel like they are a part of the team  responsible for the human resource management systems and provide staff and management with essential reporting information in order to help them in managing their associate resources  recruit and retain top quality associates for each department this includes recruiting nationally and in some cases at an executive level  create or assist in the creation of compensation plans  employee benefit administration consisting of health dental vision vstd vltd and 401k  successful in reducing the health benefit expected increase from 46 to 5 during my first month with the organization         sr hr manager     jan 2013   to   jan 2015      company name      city     state     as a leader within the hr and operations team i was instrumental in partnering with local leadership and corporate hr to develop and implement hr policies processes technology and services that are aligned to support our companys strategic initiatives in order to have a successful startup  key results coordinated efforts to recruit and hire over 220 full time hourly associates and 27 management level employees while converting agency staff to full time  instrumental in managing and creating the set up of the hr business office which included development of personnel files new hire practices payroll and hr reporting  manage by providing direction and development to hr and develop the hr delivery as business continued to grow  strategic business partner to the site director as well as other operations leaders in support of startup operations daytoday operations and peak season planning staffing and operations  worked successfully with local temporary agencies in order to staff to our peak volume which consisted of over 1800 total associates delivering over 3 million units from black friday to christmas  influence hr strategy and execute tactical direction for the facility within the overall hr strategy  ensure internal consistency of hr policies and procedures across multiple locations  interact with the corporate hr team for exempt staffing compensation and benefits and other functional groups in order to support operations  maintain knowledge of hr policies and procedures laws and regulations industry trends and developments to ensure accurate information is being communicated throughout the company  develop a work environment that demonstrates fanatics core values  provide strategic direction on leadership development and workforce planning initiatives within the fulfillment center  coach senior business leaders and front line supervisors on hr polices procedures and best practices in dealing with employee relation issues such as poor performance attendance and behavior and conduct issues  championed a fun friendly and approachable hr team of professionals  ensure integrity maintenance and confidentiality of all personnel records in accordance with policies and procedures and applicable federal and state laws  improve hr service delivery in line with overall business performance expectations  look for ways to innovate systems for hr delivery people process  technology  manage the hr function with measurable objectives and communicate the bottom line impact of hr delivery to the business         hr director     jan 2008   to   jan 2012      company name      city     state     as a member of the executive team i was directly and solely responsible for providing situation appropriate and policy compliant human resource support for 2 separate business units for a community based nonprofit health care organization with approximately 184 employees  key results played a key role in ensuring the successful merge of five separate private physician practices into one nonprofit organization  structured and implemented programs and policies in the areas of compensation structures benefits packages incentive compensation plans and physician employment contracts  fostered a teamworkopendoor environment conducive to positive dialogue across the organization with an 85 overall employee satisfaction rating  responsible for maintaining staffing levels for all positions within the health center which consisted of full time part time and oncall staff  negotiated more than 100 salary offers at both the exempt and nonexempt level  successful recruitment of physicians ceo coo cfo cmo and various managers  wrote employee manual covering issues including disciplinary procedures code of conduct fmla attendance policies and benefits information  implemented employee satisfaction surveys and presented results to board of directors  introduced companys first formal performance review program  developed job descriptions across all levels and categories  shadowed and interviewed employees to construct an accurate picture of the duties and skills required for each position         hr representative     jan 2001   to   jan 2007      company name      city     state     nations largest smallbox discount retailer  fulfilled a broad range of hr generalist functions including recruiting administering benefits overseeing disciplinary action and managing hr support staff  key results trained management team on interviewing techniques and best practices conducted workshops and oneonone coaching sessions that contributed to sound hiring decisions  instrumental in the startup of the new 12 million sq  ft  state of the art distribution center  hiring over 400 plus employees within the first year that consisted of part time full time and temporary staff  overseen moraleboosting programs including special events annual employee picnic attendance and safety banquets etc  that increased employee satisfaction and productivity  investigated all employee relation issues such as sexual harassment discrimination and inappropriate conduct by either hourly employees and or management staff  responsible for staffing all hourly positions which consisted of maintaining 878 hourly employees among three shifts         education      bachelor of business administration      mount vernon nazarene university      city     state            professional affiliations    society for human resource management shrm muskingum valley human resource management association      skills    ada adp art agency benefits benefits administration coach coaching conflict resolution continuous improvement contracts decision making delivery direction employee relations special events financial functional hiring hris human resource management human resource human resources hr human relations kronos lawson leadership leadership development law legal compliance director managing management reporting mediation access excel ms office office outlook powerpoint publisher win word negotiating negotiations organizational development organizational payroll peak performance management personnel policies problem solving processes profit implement programs project management quality quantitative analysis recruitment recruiting reporting safety sound staff development staffing strategy strategic structured surveys team work teamwork visio vision workshops
HR,    administrative administrative assistant bi conferences database special events filing human resource management hr human resources management excel exchange microsoft office office outlook powerpoint word newsletter paralegal performance management processes publications recruitment strategic planning supervisor training programs travel arrangements visio website workshops annual reports,     112008   to   082014     hr generalist    company name      city     state      managed visa related employment processes for all nonimmigrant faculty and staff  improved productivity and enhanced visa related services  improved operational structure by developing guidelines and tools for internal and external administration of nonimmigrant employment procedures  reduced internal employment authorization processing times by approximately 30 percent  prepared reviewed and submitted petitions for uscis adjudication  maintained electronic database of petitions filed  served as a university p,     82013     aba approved paralegal program certification             82013     ba     justice studies    montclair state university      city     state      justice studies       062002     as     psychology    essex county college      city     state      psychology            certificate in shrm essentials of human resource management 62013 program highlights performance management			    critical analysis recruitment and selection			    strategic planning effective human resources management	    establishing competencies      new york institute of technology      city                publi,,hr generalist       summary     dedicated and focused administrative assistant who excels at prioritizing completing multiple tasks simultaneously and following through to achieve project goals seeking a role of increased responsibility and authority       highlights         microsoft office proficiency  excel spreadsheets  meticulous attention to detail  resultsoriented  selfdirected      time management  professional and mature  selfstarter  legal administrative support            experience     112008   to   082014     hr generalist    company name      city     state      managed visa related employment processes for all nonimmigrant faculty and staff  improved productivity and enhanced visa related services  improved operational structure by developing guidelines and tools for internal and external administration of nonimmigrant employment procedures  reduced internal employment authorization processing times by approximately 30 percent  prepared reviewed and submitted petitions for uscis adjudication  maintained electronic database of petitions filed  served as a university point of contact for uscis  developed and presented university with guidelines to adhere to mandates presented by uscis usdhs and usdos   presented monthly orientation  created edited and internally distributed biannual newsletter  maintained hr website         052000   to   112008     coordinator    company name      city     state      provided advice to faculty staff scholars and students by interpreting complex regulatory guidelines  thoroughly prepared and filed nonimmigrant petitions to uscis for nonimmigrant students and employees  maintained highly confidential and sensitive data  identified as designated school official for nonimmigrant student programs and alternate responsible officer  overseeing the j1 exchange visitor program for j1 employees   assisted foreign nationals in obtaining the h1b visa status for employment in the us  coordinated biannual student orientation   created training programs supervised and trained volunteers  supervised administrative assistant and student employees   managed and coordinated student activities         052000   to   112008     coordinatorinternational student advisorsecretary    company name      city     state      drafted meeting agendas supplied advance materials and executed followup for meetings and team conferences  managed the receptionist area including greeting visitors and responding to telephone and inperson requests for information  designed electronic file systems and maintained electronic and paper files  handled all media and public relations inquiries  planned meetings and prepared conference rooms  wrote reports and correspondence from dictation and handwritten notes  dispersed incoming mail to correct recipients throughout the office  made copies sent faxes and handled all incoming and outgoing correspondence  created powerpoint presentations used for business development  organized files developed spreadsheets faxed reports and scanned documents  managed daily office operations and maintenance of equipment          education     82013     aba approved paralegal program certification             82013     ba     justice studies    montclair state university      city     state      justice studies       062002     as     psychology    essex county college      city     state      psychology            certificate in shrm essentials of human resource management 62013 program highlights performance management			    critical analysis recruitment and selection			    strategic planning effective human resources management	    establishing competencies      new york institute of technology      city                publications    identified by the department of state as an alternate responsible officer for exchange visitor programs and recognized by united states citizenship and immigration services as designated school official conference presenter national association of foreign student advisors nafsa 2012 appointed acting assistant director coordinator of international students 2000 she brings calm attention to detail and an approach that places the customer as the number one focus in any activity or service  this style works  it benefits all of us  2008 annual performance evaluation njit  overall performance level outstanding lisa is a quality employee  she often works beyond contractual hours to complete a task  this office could not operate in its current modus operandi without her efforts  2008 annual performance evaluation merit proposal njit thank you for your steadfast style and contributions you make to this office  you are truly valued  2006 annual performance evaluation notification njit  overall performance level  commendableoutstanding she is calm humorous personable and a model of patience  2004 annual performance evaluation njit  overall performance level  outstanding       skills    administrative administrative assistant bi conferences database special events filing human resource management hr human resources management excel exchange microsoft office office outlook powerpoint word newsletter paralegal performance management processes publications recruitment strategic planning supervisor training programs travel arrangements visio website workshops annual reports
